brand,model,engine_cc,age_months,km_driven,owners,condition,launch_price,price
Royal Enfield,Hunter 350,349,22,21670,1,Good,242820,156287
Bajaj,Pulsar 125,125,82,67832,1,Fair,122500,25810
Suzuki,V-Strom SX,249,66,75277,1,Fair,149820,31084
TVS,Sport,109,45,53731,4,Excellent,109620,35527
Royal Enfield,Himalayan,452,19,18284,1,Excellent,261360,195129
Royal Enfield,Hunter 350,349,33,33857,3,Good,242820,109037
Royal Enfield,Himalayan,452,29,17869,1,Excellent,261360,164925
Royal Enfield,Hunter 350,349,61,68850,2,Fair,242820,47991
KTM,Duke 250,249,67,60621,1,Fair,254820,54483
Yamaha,R15 V4,155,51,35342,1,Good,142900,47245
Honda,Hornet 2.0,184,83,90433,1,Fair,138120,27752
Honda,Hornet 2.0,184,6,5862,2,Excellent,138120,119213
Royal Enfield,Meteor 350,349,13,10208,2,Excellent,242820,189103
Hero,HF Deluxe,97,41,43000,1,Good,97460,41566
Yamaha,MT-15,155,37,31910,3,Good,142900,59289
KTM,Duke 200,199,44,46546,2,Good,245820,90934
Hero,Splendor Plus,97,39,21808,2,Good,97460,42610
TVS,Radeon,109,54,42310,1,Good,109620,32439
Yamaha,R15 V4,155,27,20374,3,Good,142900,73673
KTM,Duke 200,199,24,19880,1,Good,245820,153572
Yamaha,R15 V4,155,87,55492,1,Poor,142900,26239
TVS,Sport,109,25,17366,1,Good,109620,67645
Bajaj,Pulsar 125,125,21,18114,1,Good,122500,80664
Yamaha,MT-15,155,45,43360,1,Good,142900,55149
Honda,SP 125,124,60,66480,3,Fair,127320,23403
TVS,Apache RTR 200 4V,197,2,2076,2,Excellent,125460,114671
TVS,Radeon,109,64,56825,1,Good,109620,26865
Yamaha,FZ-FI,149,58,50748,1,Fair,141820,31340
KTM,390 Duke,399,70,58654,1,Fair,281820,60495
Honda,Hornet 2.0,184,18,19831,1,Excellent,138120,104420
Triumph,Speed 400,398,76,44843,1,Fair,311640,68756
BMW,G 310 R,313,49,25488,3,Good,406340,126459
BMW,G 310 R,313,54,64794,1,Good,406340,114978
Hero,Splendor Plus,97,37,25736,1,Good,97460,47026
Honda,Hornet 2.0,184,15,12475,1,Good,138120,100750
KTM,RC 200,199,60,73081,1,Fair,245820,51236
Yamaha,FZ-FI,149,64,56514,1,Good,141820,34778
Hero,Passion Pro,110,36,23567,1,Good,99800,49396
Honda,SP 125,124,96,68267,2,Fair,127320,25193
Royal Enfield,Himalayan,452,61,75193,3,Fair,261360,47185
Hero,Passion Pro,110,6,6199,2,Excellent,99800,86086
KTM,RC 200,199,13,8535,1,Good,245820,185899
Hero,Passion Pro,110,7,4250,1,Excellent,99800,90717
Suzuki,V-Strom SX,249,7,6130,3,Good,149820,107450
Royal Enfield,Meteor 350,349,93,49777,1,Poor,242820,45096
Triumph,Speed 400,398,77,64615,2,Poor,311640,52809
BMW,G 310 R,313,20,18603,1,Excellent,406340,298477
KTM,390 Duke,399,65,61486,3,Fair,281820,52331
Suzuki,V-Strom SX,249,80,67748,1,Fair,149820,31571
KTM,Duke 250,249,65,37369,1,Fair,254820,57043
Honda,Shine,123,35,34914,2,Fair,127140,51968
Suzuki,V-Strom SX,249,39,41720,2,Fair,149820,55436
Royal Enfield,Meteor 350,349,52,45447,1,Fair,242820,67065
KTM,390 Duke,399,4,3102,1,Excellent,281820,266794
Bajaj,Dominar 400,373,49,53943,1,Fair,167140,49740
Bajaj,Pulsar 125,125,85,79531,2,Fair,122500,23679
Bajaj,Pulsar 150,149,8,7955,1,Excellent,126820,113003
TVS,Radeon,109,75,88742,2,Fair,109620,20779
Bajaj,Pulsar 125,125,88,77345,1,Fair,122500,25306
TVS,Apache RTR 200 4V,197,70,44153,1,Fair,125460,27717
Suzuki,Gixxer,155,74,58107,2,Poor,132900,22819
Hero,HF Deluxe,97,49,45162,1,Fair,97460,29511
Bajaj,Pulsar 125,125,43,53401,1,Good,122500,48767
Bajaj,Pulsar 125,125,35,31812,1,Good,122500,60953
Royal Enfield,Meteor 350,349,93,74557,1,Fair,242820,50455
TVS,Apache RTR 160,159,72,61102,1,Fair,118620,25337
Hero,HF Deluxe,97,75,78173,2,Fair,97460,18893
Yamaha,MT-15,155,95,105839,1,Fair,142900,27762
TVS,Radeon,109,51,47422,2,Fair,109620,29254
Royal Enfield,Meteor 350,349,55,33759,1,Fair,242820,62033
Royal Enfield,Classic 350,349,26,13311,3,Good,242820,129092
Yamaha,MT-15,155,65,38662,1,Fair,142900,31909
TVS,Sport,109,38,22083,4,Good,109620,40645
KTM,390 Duke,399,32,34290,1,Good,281820,148226
Hero,HF Deluxe,97,59,56337,3,Good,97460,20800
Bajaj,Pulsar 150,149,80,88017,2,Fair,126820,24077
Honda,Hornet 2.0,184,85,42537,3,Poor,138120,22636
Hero,Splendor Plus,97,26,23832,1,Fair,97460,51340
TVS,Apache RTR 160,159,45,55707,1,Excellent,118620,49093
Honda,Shine,123,65,53164,1,Fair,127140,27593
KTM,Duke 200,199,33,39380,2,Good,245820,118003
Hero,Passion Pro,110,14,12543,1,Excellent,99800,81158
Bajaj,Dominar 400,373,94,115550,1,Fair,167140,31770
TVS,Sport,109,87,83516,2,Fair,109620,21012
Hero,Passion Pro,110,34,42024,2,Good,99800,46715
Hero,HF Deluxe,97,35,40368,1,Good,97460,47701
Hero,Passion Pro,110,46,36959,3,Good,99800,33042
Hero,Passion Pro,110,37,36389,1,Excellent,99800,51854
Bajaj,Pulsar 150,149,79,83716,4,Poor,126820,17138
KTM,Duke 250,249,28,23114,1,Fair,254820,129728
Royal Enfield,Hunter 350,349,26,15453,1,Good,242820,147796
Hero,Passion Pro,110,28,15860,1,Fair,99800,51500
Bajaj,Pulsar 150,149,69,85588,1,Fair,126820,25747
Yamaha,R15 V4,155,11,12608,2,Excellent,142900,113948
KTM,390 Duke,399,81,47871,1,Poor,281820,52537
KTM,Duke 250,249,33,37727,1,Excellent,254820,143459
Royal Enfield,Classic 350,349,94,98964,2,Fair,242820,45021
Honda,SP 125,124,19,15418,3,Excellent,127320,83140
Yamaha,FZ-FI,149,36,38744,1,Good,141820,68191
TVS,Radeon,109,44,34511,1,Good,109620,44159
KTM,Duke 250,249,11,6515,1,Excellent,254820,218589
TVS,Radeon,109,76,56747,2,Fair,109620,22204
Triumph,Speed 400,398,26,29757,1,Fair,311640,162339
Bajaj,Pulsar 150,149,78,66843,1,Poor,126820,22758
Honda,Hornet 2.0,184,27,33089,2,Excellent,138120,82539
TVS,Radeon,109,11,13352,3,Good,109620,73519
BMW,G 310 R,313,80,56824,2,Fair,406340,82293
Honda,SP 125,124,69,76825,1,Fair,127320,26331
Yamaha,MT-15,155,42,37653,2,Good,142900,56520
Honda,Shine,123,36,21386,1,Good,127140,63186
TVS,Radeon,109,73,68035,3,Fair,109620,20085
Honda,Shine,123,76,67167,1,Fair,127140,26824
Yamaha,FZ-FI,149,41,36598,1,Excellent,141820,67298
Hero,Passion Pro,110,42,51706,1,Good,99800,40853
Suzuki,V-Strom SX,249,78,52974,2,Fair,149820,30576
Yamaha,FZ-FI,149,86,90684,1,Fair,141820,28480
Hero,Splendor Plus,97,75,85999,2,Fair,97460,18583
KTM,RC 200,199,76,55258,1,Fair,245820,53128
TVS,Apache RTR 160,159,47,29113,2,Fair,118620,36854
Bajaj,Pulsar 125,125,53,65915,3,Fair,122500,27352
KTM,390 Duke,399,49,31403,2,Good,281820,93706
Hero,HF Deluxe,97,78,43554,1,Fair,97460,21556
Yamaha,R15 V4,155,12,13174,3,Excellent,142900,103896
BMW,G 310 R,313,89,108182,4,Fair,406340,61254
Bajaj,Pulsar 125,125,19,19671,2,Excellent,122500,85748
KTM,Duke 250,249,88,44811,2,Fair,254820,52850
Suzuki,Gixxer,155,3,3652,1,Good,132900,115818
BMW,G 310 R,313,70,40711,1,Fair,406340,90375
Yamaha,FZ-FI,149,79,70621,1,Fair,141820,29710
Royal Enfield,Classic 350,349,78,65274,1,Fair,242820,51429
Hero,Passion Pro,110,76,47363,3,Fair,99800,19061
Suzuki,V-Strom SX,249,27,19552,1,Fair,149820,78171
Honda,Hornet 2.0,184,29,30690,1,Excellent,138120,85079
Hero,Passion Pro,110,51,43854,1,Fair,99800,28532
Triumph,Speed 400,398,78,50007,1,Fair,311640,68061
Royal Enfield,Meteor 350,349,80,98995,2,Fair,242820,45018
Suzuki,V-Strom SX,249,12,10538,1,Good,149820,114490
Hero,HF Deluxe,97,51,38633,1,Good,97460,32018
KTM,Duke 200,199,21,20900,2,Excellent,245820,166338
Suzuki,V-Strom SX,249,17,9843,1,Excellent,149820,117143
Yamaha,R15 V4,155,60,63621,2,Fair,142900,28546
KTM,Duke 250,249,57,56998,1,Good,254820,65758
Suzuki,Gixxer,155,39,37142,2,Fair,132900,49613
Honda,SP 125,124,2,2097,1,Excellent,127320,123795
Bajaj,Dominar 400,373,33,36111,1,Good,167140,85895
Royal Enfield,Classic 350,349,58,69096,2,Good,242820,55289
Royal Enfield,Hunter 350,349,44,28493,2,Excellent,242820,102208
Suzuki,Gixxer,155,8,7413,1,Excellent,132900,118538
Royal Enfield,Classic 350,349,47,27494,2,Good,242820,86079
Honda,Hornet 2.0,184,85,54600,1,Poor,138120,25407
KTM,RC 200,199,1,1000,2,Good,245820,207377
Hero,HF Deluxe,97,64,57931,1,Good,97460,23832
Bajaj,Dominar 400,373,48,32675,1,Good,167140,60696
Yamaha,R15 V4,155,53,48019,1,Good,142900,43242
Royal Enfield,Himalayan,452,86,84173,1,Fair,261360,53222
Bajaj,Pulsar NS200,199,74,79161,2,Fair,135820,26274
Yamaha,MT-15,155,80,74782,1,Fair,142900,29679
KTM,Duke 200,199,43,26830,2,Good,245820,96857
TVS,Radeon,109,36,25342,1,Fair,109620,47539
Hero,Splendor Plus,97,17,21059,3,Excellent,97460,64934
Hero,HF Deluxe,97,47,42398,1,Good,97460,35717
KTM,Duke 250,249,41,36893,3,Excellent,254820,105141
Hero,Passion Pro,110,26,19483,1,Fair,99800,53003
Royal Enfield,Meteor 350,349,33,33115,1,Fair,242820,110336
KTM,390 Duke,399,49,44037,2,Fair,281820,80393
Hero,Passion Pro,110,22,18936,1,Good,99800,64563
KTM,390 Duke,399,58,42628,1,Fair,281820,63279
Hero,Splendor Plus,97,95,90614,2,Fair,97460,18400
Yamaha,MT-15,155,32,37656,1,Good,142900,74674
Honda,SP 125,124,33,16902,1,Good,127320,67851
Royal Enfield,Classic 350,349,25,25883,1,Good,242820,147470
Yamaha,R15 V4,155,35,20038,1,Good,142900,72702
Yamaha,FZ-FI,149,36,38345,3,Fair,141820,52195
Suzuki,Gixxer,155,4,4663,2,Excellent,132900,117931
TVS,Radeon,109,67,78849,1,Fair,109620,22574
Bajaj,Pulsar NS200,199,51,47010,1,Fair,135820,38591
Yamaha,FZ-FI,149,60,54874,1,Fair,141820,30674
KTM,Duke 200,199,93,48500,3,Fair,245820,46846
KTM,Duke 200,199,16,11115,2,Excellent,245820,182969
Honda,SP 125,124,71,35926,1,Fair,127320,28580
KTM,RC 200,199,66,40885,3,Good,245820,54088
KTM,Duke 250,249,92,94395,2,Fair,254820,47719
Hero,Splendor Plus,97,29,25370,2,Good,97460,51873
Yamaha,MT-15,155,67,49392,2,Fair,142900,29372
Bajaj,Pulsar 125,125,64,41163,1,Fair,122500,27221
Yamaha,MT-15,155,4,3478,1,Excellent,142900,135189
KTM,Duke 250,249,26,31915,3,Fair,254820,115010
Hero,HF Deluxe,97,84,69461,1,Poor,97460,17396
Bajaj,Pulsar 150,149,20,24349,2,Good,126820,78832
Honda,Shine,123,31,38215,1,Excellent,127140,74351
TVS,Sport,109,84,86585,2,Fair,109620,20875
Bajaj,Dominar 400,373,93,75144,3,Fair,167140,30178
Yamaha,MT-15,155,72,85699,1,Good,142900,32993
KTM,Duke 200,199,18,17342,2,Excellent,245820,175504
Bajaj,Pulsar 150,149,71,63828,1,Fair,126820,26939
Hero,HF Deluxe,97,36,34779,3,Good,97460,41082
Honda,Shine,123,63,68522,2,Good,127140,28602
Bajaj,Pulsar 125,125,14,13899,3,Good,122500,78671
KTM,RC 200,199,3,3114,1,Good,245820,214434
KTM,Duke 200,199,75,78858,1,Fair,245820,50622
Bajaj,Pulsar 150,149,23,17884,1,Excellent,126820,88861
Honda,Shine,123,75,51023,1,Fair,127140,27711
Honda,Shine,123,92,80493,1,Fair,127140,26092
BMW,G 310 R,313,88,72757,1,Fair,406340,84749
Hero,HF Deluxe,97,5,4959,1,Good,97460,82623
Honda,SP 125,124,49,28326,2,Fair,127320,37435
Royal Enfield,Classic 350,349,91,110696,1,Fair,242820,46664
Bajaj,Dominar 400,373,49,57063,1,Fair,167140,49430
Honda,SP 125,124,49,35434,1,Good,127320,44690
KTM,RC 200,199,35,20898,2,Good,245820,117371
Honda,Shine,123,57,44646,3,Fair,127140,25715
Hero,Splendor Plus,97,86,95846,2,Poor,97460,15464
Triumph,Speed 400,398,71,68532,1,Fair,311640,65567
Bajaj,Pulsar NS200,199,49,60380,1,Fair,135820,39900
KTM,Duke 200,199,84,70229,2,Fair,245820,48446
Hero,Passion Pro,110,69,72146,1,Fair,99800,20841
Bajaj,Dominar 400,373,24,26893,1,Excellent,167140,113243
Honda,Hornet 2.0,184,36,19499,1,Good,138120,68885
Royal Enfield,Classic 350,349,77,54602,1,Poor,242820,44666
Suzuki,Gixxer,155,18,16126,2,Good,132900,86540
TVS,Apache RTR 200 4V,197,1,1000,2,Excellent,125460,116307
Suzuki,V-Strom SX,249,11,12469,1,Good,149820,115683
KTM,390 Duke,399,88,55654,1,Fair,281820,60861
Bajaj,Pulsar 125,125,78,70319,1,Fair,122500,25678
TVS,Sport,109,75,56555,1,Fair,109620,23630
TVS,Apache RTR 200 4V,197,39,45472,1,Excellent,125460,61281
Yamaha,FZ-FI,149,96,88064,1,Fair,141820,28641
TVS,Apache RTR 160,159,41,38592,1,Fair,118620,44858
Royal Enfield,Meteor 350,349,35,40164,1,Good,242820,118895
KTM,RC 200,199,14,13419,1,Excellent,245820,199582
KTM,RC 200,199,26,20130,2,Fair,245820,122573
Honda,Shine,123,5,3374,1,Excellent,127140,118785
Bajaj,Pulsar 150,149,33,34534,1,Good,126820,65372
Royal Enfield,Classic 350,349,11,9305,2,Excellent,242820,194803
BMW,G 310 R,313,40,43002,1,Fair,406340,155953
Royal Enfield,Meteor 350,349,33,34565,3,Good,242820,108889
Hero,Splendor Plus,97,72,38087,2,Good,97460,23295
Bajaj,Pulsar NS200,199,13,11216,1,Good,135820,102209
Bajaj,Pulsar 125,125,25,22227,2,Good,122500,70415
Royal Enfield,Hunter 350,349,65,51789,1,Fair,242820,52844
Hero,Passion Pro,110,10,7319,1,Excellent,99800,86666
Triumph,Speed 400,398,78,76625,1,Fair,311640,64477
Bajaj,Pulsar NS200,199,48,30660,1,Good,135820,49512
Royal Enfield,Himalayan,452,12,9538,1,Excellent,261360,219883
Royal Enfield,Hunter 350,349,18,18855,4,Excellent,242820,143449
Bajaj,Pulsar 125,125,88,78083,1,Fair,122500,25267
Honda,Shine,123,78,93516,1,Poor,127140,21570
Bajaj,Dominar 400,373,46,56695,1,Good,167140,61185
Honda,Hornet 2.0,184,67,41973,3,Good,138120,30326
Suzuki,V-Strom SX,249,56,66060,2,Fair,149820,32559
TVS,Apache RTR 200 4V,197,67,68161,3,Fair,125460,22982
Royal Enfield,Hunter 350,349,6,6165,2,Excellent,242820,209466
TVS,Sport,109,11,11292,1,Excellent,109620,93216
Bajaj,Dominar 400,373,13,16164,1,Excellent,167140,136961
KTM,RC 200,199,29,16510,1,Excellent,245820,155511
KTM,Duke 250,249,65,78024,2,Fair,254820,49413
Yamaha,R15 V4,155,40,42958,1,Good,142900,62391
Yamaha,MT-15,155,84,55840,2,Fair,142900,28997
Suzuki,Gixxer,155,65,61759,2,Fair,132900,26649
Hero,HF Deluxe,97,11,10863,2,Excellent,97460,77964
Suzuki,V-Strom SX,249,88,104048,1,Fair,149820,29222
Hero,HF Deluxe,97,54,60955,4,Good,97460,21678
Honda,Hornet 2.0,184,5,3244,1,Good,138120,117457
Yamaha,MT-15,155,62,75482,1,Fair,142900,29636
Hero,HF Deluxe,97,12,9867,2,Excellent,97460,77027
Royal Enfield,Hunter 350,349,11,6012,1,Excellent,242820,208486
TVS,Sport,109,92,72801,2,Fair,109620,21489
Yamaha,FZ-FI,149,95,110319,2,Fair,141820,25641
Honda,SP 125,124,34,25311,1,Good,127320,65464
TVS,Radeon,109,84,80097,2,Poor,109620,17990
Suzuki,Gixxer,155,73,70018,3,Poor,132900,20614
Honda,SP 125,124,1,1005,2,Excellent,127320,118030
KTM,RC 200,199,63,34254,2,Good,245820,59192
Hero,HF Deluxe,97,3,2547,2,Excellent,97460,87909
Honda,Shine,123,72,51910,1,Fair,127140,27662
Honda,SP 125,124,14,13093,2,Excellent,127320,97227
TVS,Sport,109,9,9616,2,Excellent,109620,90323
KTM,RC 200,199,15,9252,1,Excellent,245820,198215
TVS,Sport,109,92,100437,1,Fair,109620,21552
Royal Enfield,Himalayan,452,90,84059,1,Fair,261360,53235
BMW,G 310 R,313,29,25641,1,Fair,406340,202164
Bajaj,Pulsar NS200,199,32,37901,1,Excellent,135820,77957
TVS,Apache RTR 160,159,31,37355,1,Fair,118620,55587
Bajaj,Pulsar 125,125,51,43173,2,Fair,122500,32964
Hero,Splendor Plus,97,55,58427,1,Fair,97460,23721
KTM,390 Duke,399,61,33783,2,Fair,281820,59712
TVS,Sport,109,1,1000,3,Excellent,109620,94055
Hero,Splendor Plus,97,28,31260,2,Good,97460,52241
TVS,Apache RTR 200 4V,197,66,81524,1,Fair,125460,25691
Bajaj,Pulsar 125,125,85,56946,2,Poor,122500,21082
TVS,Apache RTR 200 4V,197,91,57135,1,Fair,125460,27013
Hero,HF Deluxe,97,73,82461,2,Poor,97460,15914
TVS,Apache RTR 200 4V,197,95,107197,2,Fair,125460,22842
Honda,Shine,123,28,21077,2,Fair,127140,61076
Bajaj,Pulsar 125,125,59,39824,3,Good,122500,27009
KTM,RC 200,199,33,40546,1,Good,245820,125251
TVS,Apache RTR 160,159,14,15936,2,Excellent,118620,90109
KTM,Duke 250,249,62,66305,3,Fair,254820,46856
KTM,Duke 200,199,75,56081,1,Fair,245820,53041
TVS,Apache RTR 200 4V,197,12,12998,1,Excellent,125460,104881
Triumph,Speed 400,398,53,56419,1,Fair,311640,81533
Bajaj,Dominar 400,373,63,39036,4,Fair,167140,29090
KTM,390 Duke,399,31,25753,1,Good,281820,153588
Suzuki,V-Strom SX,249,26,30196,1,Good,149820,88701
BMW,G 310 R,313,41,43178,1,Good,406340,173243
Bajaj,Pulsar 125,125,79,95359,1,Poor,122500,20700
Royal Enfield,Meteor 350,349,40,36079,1,Excellent,242820,118066
Hero,HF Deluxe,97,16,13158,3,Excellent,97460,66887
Bajaj,Pulsar NS200,199,34,19353,2,Good,135820,66382
Royal Enfield,Himalayan,452,13,7228,1,Excellent,261360,217717
Bajaj,Pulsar 125,125,64,64512,2,Fair,122500,24426
Bajaj,Dominar 400,373,60,39320,1,Fair,167140,37274
Bajaj,Dominar 400,373,45,26088,1,Fair,167140,58619
Honda,Shine,123,25,28977,3,Excellent,127140,73389
Honda,SP 125,124,18,10762,1,Excellent,127320,97885
Honda,Hornet 2.0,184,33,26980,2,Good,138120,67895
Bajaj,Dominar 400,373,9,6485,1,Good,167140,134087
Yamaha,R15 V4,155,6,6853,2,Excellent,142900,123116
TVS,Sport,109,15,11509,2,Good,109620,75297
Honda,SP 125,124,76,57672,1,Poor,127320,23277
Honda,SP 125,124,82,93484,1,Fair,127320,25414
Suzuki,V-Strom SX,249,86,83511,1,Fair,149820,30551
TVS,Sport,109,30,15427,2,Good,109620,58345
Hero,HF Deluxe,97,10,7249,2,Good,97460,72405
Royal Enfield,Meteor 350,349,40,28402,1,Fair,242820,95848
Triumph,Speed 400,398,28,31099,2,Excellent,311640,183624
Yamaha,FZ-FI,149,50,42483,2,Fair,141820,39397
Bajaj,Pulsar NS200,199,8,6690,1,Excellent,135820,121302
BMW,G 310 R,313,82,73522,3,Poor,406340,62573
KTM,Duke 200,199,42,35309,2,Excellent,245820,107326
KTM,RC 200,199,53,57309,1,Fair,245820,64198
Honda,Hornet 2.0,184,32,20926,1,Excellent,138120,81877
Royal Enfield,Hunter 350,349,59,64148,3,Fair,242820,44846
TVS,Radeon,109,91,83645,1,Fair,109620,22347
Hero,HF Deluxe,97,26,26541,1,Good,97460,58102
TVS,Sport,109,91,105471,1,Fair,109620,21314
KTM,Duke 250,249,22,20727,1,Good,254820,164300
TVS,Sport,109,65,49299,3,Fair,109620,20857
Bajaj,Pulsar 150,149,36,38364,3,Fair,126820,46673
KTM,390 Duke,399,27,32728,1,Fair,281820,143429
Suzuki,V-Strom SX,249,94,85951,2,Fair,149820,28570
Yamaha,MT-15,155,68,39729,1,Fair,142900,31843
Bajaj,Pulsar 150,149,76,84467,1,Poor,126820,21937
KTM,390 Duke,399,65,46838,1,Fair,281820,61934
Triumph,Speed 400,398,38,30556,1,Good,311640,145789
TVS,Apache RTR 160,159,85,98400,2,Poor,118620,18717
TVS,Apache RTR 160,159,44,43125,2,Good,118620,44175
Yamaha,R15 V4,155,86,58390,1,Poor,142900,26087
BMW,G 310 R,313,14,10136,1,Excellent,406340,331906
Suzuki,V-Strom SX,249,58,72121,1,Good,149820,36065
Hero,Passion Pro,110,39,37175,1,Fair,99800,39632
Honda,Shine,123,9,5190,2,Excellent,127140,105608
KTM,Duke 250,249,82,75546,1,Fair,254820,52840
Yamaha,R15 V4,155,36,18260,2,Good,142900,67148
KTM,390 Duke,399,26,24042,1,Good,281820,168806
BMW,G 310 R,313,57,36688,1,Fair,406340,95939
Bajaj,Dominar 400,373,84,66678,2,Fair,167140,33181
Yamaha,MT-15,155,71,58587,3,Good,142900,30360
Royal Enfield,Hunter 350,349,90,52855,1,Fair,242820,52732
TVS,Apache RTR 160,159,83,79698,1,Poor,118620,20727
Royal Enfield,Meteor 350,349,68,70784,3,Fair,242820,44240
TVS,Sport,109,58,36588,2,Fair,109620,23409
Yamaha,FZ-FI,149,76,52718,1,Fair,141820,30806
Royal Enfield,Meteor 350,349,48,35397,2,Fair,242820,72489
KTM,RC 200,199,73,71671,2,Fair,245820,48302
Bajaj,Dominar 400,373,8,7879,2,Good,167140,127413
Hero,Splendor Plus,97,93,48672,1,Fair,97460,21341
Royal Enfield,Hunter 350,349,95,58057,2,Fair,242820,49055
Suzuki,Gixxer,155,78,52427,2,Poor,132900,23079
Yamaha,R15 V4,155,37,20827,2,Fair,142900,57508
Suzuki,V-Strom SX,249,46,29622,1,Fair,149820,50832
Bajaj,Pulsar 150,149,40,42117,1,Good,126820,55461
TVS,Sport,109,1,1000,1,Good,109620,98379
TVS,Sport,109,93,105771,1,Fair,109620,21299
BMW,G 310 R,313,89,57792,1,Poor,406340,74270
KTM,Duke 250,249,4,2847,1,Excellent,254820,241345
Honda,Shine,123,28,27723,3,Good,127140,63500
TVS,Sport,109,74,68170,1,Fair,109620,23080
KTM,390 Duke,399,92,64880,1,Fair,281820,59737
KTM,390 Duke,399,47,41316,2,Good,281820,97289
Bajaj,Dominar 400,373,58,32784,2,Fair,167140,35954
TVS,Sport,109,89,47211,3,Fair,109620,20943
Honda,Hornet 2.0,184,27,13764,2,Fair,138120,68474
Royal Enfield,Himalayan,452,3,2532,1,Excellent,261360,250802
Yamaha,R15 V4,155,90,55849,1,Fair,142900,30848
TVS,Sport,109,91,46721,1,Fair,109620,24096
Triumph,Speed 400,398,36,27445,2,Fair,311640,126536
Royal Enfield,Meteor 350,349,76,80642,1,Fair,242820,49817
Royal Enfield,Hunter 350,349,88,78907,2,Fair,242820,46999
Honda,Hornet 2.0,184,74,77766,4,Fair,138120,22236
Honda,Hornet 2.0,184,77,69628,2,Fair,138120,27254
Yamaha,MT-15,155,63,66676,2,Fair,142900,28369
Royal Enfield,Hunter 350,349,26,15797,2,Fair,242820,122057
Bajaj,Pulsar 125,125,56,59789,1,Fair,122500,28684
Bajaj,Pulsar 125,125,26,29364,1,Good,122500,72641
Hero,HF Deluxe,97,63,66110,1,Fair,97460,20606
Suzuki,Gixxer,155,65,40609,3,Good,132900,29257
TVS,Sport,109,61,70193,1,Fair,109620,22984
KTM,Duke 250,249,40,48431,1,Good,254820,110069
Honda,SP 125,124,80,66138,1,Fair,127320,26919
Hero,Passion Pro,110,34,38669,2,Good,99800,47020
Royal Enfield,Meteor 350,349,61,44878,1,Fair,242820,53569
Royal Enfield,Hunter 350,349,61,32744,1,Fair,242820,54842
Hero,HF Deluxe,97,64,76339,2,Fair,97460,18965
KTM,Duke 250,249,37,39346,3,Good,254820,104223
Triumph,Speed 400,398,64,66100,1,Good,311640,74955
TVS,Apache RTR 160,159,49,25720,2,Good,118620,39869
Bajaj,Pulsar 150,149,58,42556,1,Fair,126820,28480
Bajaj,Dominar 400,373,93,104145,1,Fair,167140,32593
Suzuki,Gixxer,155,88,62452,1,Poor,132900,24063
Yamaha,R15 V4,155,81,61830,1,Poor,142900,25907
KTM,Duke 250,249,82,62728,2,Fair,254820,50996
Bajaj,Pulsar 150,149,56,44705,3,Fair,126820,26621
BMW,G 310 R,313,43,52362,2,Good,406340,152374
Honda,Shine,123,18,18352,1,Excellent,127140,96385
TVS,Radeon,109,27,27668,1,Good,109620,64075
TVS,Apache RTR 160,159,22,25441,1,Excellent,118620,83306
Hero,Splendor Plus,97,26,15922,2,Good,97460,55712
Royal Enfield,Classic 350,349,41,39182,1,Fair,242820,91722
KTM,Duke 250,249,2,1687,2,Excellent,254820,233072
Bajaj,Pulsar 125,125,81,69520,1,Poor,122500,21862
TVS,Apache RTR 160,159,18,17914,2,Excellent,118620,84599
Bajaj,Pulsar NS200,199,89,60523,2,Fair,135820,27302
Honda,Hornet 2.0,184,62,68095,1,Good,138120,33085
Hero,Passion Pro,110,7,8336,1,Good,99800,81941
TVS,Apache RTR 160,159,69,49670,3,Good,118620,25654
Yamaha,MT-15,155,79,75289,1,Poor,142900,25200
TVS,Sport,109,2,1744,1,Good,109620,97054
TVS,Apache RTR 200 4V,197,63,48583,1,Good,125460,31255
Triumph,Speed 400,398,93,109798,1,Fair,311640,60011
Suzuki,Gixxer,155,16,10320,1,Excellent,132900,105388
KTM,390 Duke,399,33,28543,1,Fair,281820,129179
TVS,Radeon,109,12,9361,1,Good,109620,83950
Honda,Hornet 2.0,184,36,22912,4,Excellent,138120,58669
BMW,G 310 R,313,93,59423,2,Poor,406340,69585
Honda,Shine,123,52,50220,1,Good,127140,39569
Royal Enfield,Classic 350,349,26,26323,4,Excellent,242820,124132
KTM,RC 200,199,63,57240,2,Fair,245820,49743
Yamaha,FZ-FI,149,29,15361,1,Fair,141820,71927
Honda,Hornet 2.0,184,68,43420,1,Fair,138120,30558
Royal Enfield,Meteor 350,349,52,34200,1,Fair,242820,68543
Yamaha,MT-15,155,13,12677,2,Good,142900,100813
Yamaha,R15 V4,155,41,36896,1,Fair,142900,54217
Royal Enfield,Meteor 350,349,22,25413,2,Good,242820,145880
Yamaha,R15 V4,155,78,63800,1,Fair,142900,30357
Honda,Shine,123,53,43014,2,Fair,127140,32107
Yamaha,MT-15,155,83,75570,1,Fair,142900,29630
Suzuki,V-Strom SX,249,50,53283,1,Fair,149820,43344
KTM,RC 200,199,4,4590,1,Excellent,245820,232087
Suzuki,V-Strom SX,249,84,43795,1,Poor,149820,28153
Hero,Passion Pro,110,90,88728,2,Fair,99800,18919
Yamaha,R15 V4,155,1,1143,1,Good,142900,128214
Suzuki,Gixxer,155,46,41204,2,Good,132900,47152
Royal Enfield,Himalayan,452,34,21785,2,Good,261360,127161
Hero,Splendor Plus,97,75,46650,3,Poor,97460,15844
